lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
34.02,51.88,60.82,80.33,98.46,121.1,141.66,155.84,175.44,198.97
34.0,51.85,60.92,80.38,98.56,121.12,141.74,155.92,175.47,199.13
34.09,51.87,61.01,80.49,98.6,121.25,141.8,155.95,175.68,199.22
34.14,51.89,60.99,80.64,98.58,121.32,141.81,155.95,175.68,199.43
34.15,51.89,61.0,80.73,98.64,121.36,141.93,156.09,175.74,199.54
34.11,51.94,61.05,80.82,98.6,121.38,141.9,156.18,175.74,199.68
34.12,51.82,61.03,80.87,98.76,121.45,142.11,156.31,175.77,199.82
34.06,51.74,61.08,80.89,98.74,121.41,142.16,156.38,175.93,199.96
34.01,51.81,61.16,81.05,98.77,121.33,142.22,156.48,176.09,200.07
33.89,51.86,61.23,81.1,98.61,121.43,142.32,156.48,176.21,200.23
33.93,51.83,61.29,81.24,98.74,121.43,142.41,156.61,176.45,200.3
33.95,51.89,61.27,81.28,98.75,121.43,142.52,156.66,176.55,200.49
34.01,51.86,61.3,81.38,98.81,121.54,142.66,156.59,176.71,200.48
34.12,51.91,61.29,81.44,98.84,121.55,142.69,156.68,176.73,200.56
34.09,51.99,61.32,81.52,98.84,121.78,142.79,156.79,176.84,200.62
34.12,52.05,61.4,81.64,98.91,121.74,142.91,156.84,176.89,200.63
34.18,51.97,61.47,81.64,99.11,121.75,142.98,156.89,176.93,200.79
34.08,51.91,61.5,81.64,99.09,121.71,143.0,157.03,176.95,201.0
34.05,52.07,61.52,81.62,99.11,121.86,143.16,157.16,176.96,201.07
34.03,52.08,61.53,81.57,99.17,122.01,143.22,157.18,177.07,201.18
34.0,52.13,61.57,81.63,99.21,122.16,143.24,157.36,177.23,201.29
33.99,52.09,61.64,81.7,99.24,122.19,143.24,157.45,177.27,201.43
33.96,52.17,61.64,81.68,99.44,122.13,143.34,157.55,177.39,201.55
34.05,52.17,61.62,81.85,99.47,122.25,143.55,157.76,177.43,201.67
34.13,52.17,61.67,82.03,99.48,122.32,143.57,157.8,177.53,201.77
34.12,52.12,61.69,82.11,99.56,122.39,143.58,157.83,177.63,201.93
34.18,52.1,61.67,82.07,99.73,122.5,143.77,157.99,177.75,201.83
34.18,52.08,61.78,82.17,99.71,122.62,143.86,158.01,177.76,201.79
34.24,52.06,61.78,82.23,99.78,122.67,143.82,158.08,177.93,201.86
34.29,51.98,61.75,82.25,99.94,122.71,143.85,158.22,178.05,201.94
34.25,51.99,61.78,82.28,99.98,122.73,143.92,158.37,178.14,202.0
34.28,52.12,61.82,82.39,99.96,122.88,144.02,158.43,178.28,202.1
34.38,52.17,61.88,82.53,100.13,122.91,144.13,158.51,178.37,202.2
34.38,52.14,61.96,82.6,100.26,122.85,144.22,158.53,178.49,202.2
34.4,52.08,61.92,82.59,100.2,123.03,144.33,158.6,178.64,202.45
34.34,52.11,61.92,82.6,100.29,123.08,144.38,158.74,178.63,202.58
34.24,52.14,62.06,82.59,100.31,123.07,144.43,158.71,178.76,202.71
34.25,52.16,62.03,82.69,100.38,123.14,144.51,158.8,178.94,202.82
34.31,52.18,62.13,82.74,100.54,123.18,144.57,158.85,179.04,202.95
34.37,52.27,62.17,82.78,100.56,123.22,144.69,158.97,179.16,203.07
34.41,52.21,62.15,82.84,100.63,123.33,144.75,159.03,179.17,203.05
34.46,52.42,62.24,82.87,100.72,123.31,144.74,159.12,179.19,203.22
34.45,52.45,62.22,82.85,100.65,123.33,144.77,159.24,179.29,203.41
34.44,52.46,62.24,82.93,100.67,123.44,144.88,159.35,179.34,203.48
34.43,52.52,62.3,83.05,100.75,123.54,144.97,159.47,179.45,203.6
34.48,52.56,62.23,83.06,100.88,123.61,145.03,159.48,179.59,203.78
34.53,52.63,62.21,83.24,100.84,123.72,145.01,159.48,179.74,203.91
34.56,52.71,62.18,83.24,101.01,123.63,144.96,159.58,179.79,204.02
34.55,52.63,62.17,83.23,101.08,123.77,145.0,159.7,179.82,204.05
34.62,52.66,62.24,83.18,101.07,123.92,145.15,159.86,179.88,204.07
34.61,52.72,62.32,83.23,101.09,124.04,145.17,159.95,179.84,204.25
34.67,52.76,62.26,83.26,101.21,123.96,145.27,159.98,179.87,204.31
34.7,52.76,62.28,83.42,101.19,124.0,145.3,160.15,179.97,204.36
34.72,52.77,62.31,83.5,101.23,124.02,145.3,160.26,180.06,204.54
34.73,52.79,62.35,83.57,101.17,124.05,145.42,160.31,180.2,204.56
34.82,52.95,62.43,83.58,101.18,124.02,145.52,160.42,180.36,204.6
34.79,53.05,62.52,83.6,101.23,124.14,145.51,160.49,180.57,204.59
34.87,53.09,62.53,83.62,101.25,124.26,145.68,160.51,180.75,204.76
34.87,53.11,62.64,83.61,101.4,124.41,145.86,160.61,180.83,204.9
34.87,53.13,62.7,83.67,101.47,124.4,145.87,160.66,181.0,205.08
34.9,53.26,62.72,83.69,101.6,124.48,146.02,160.81,181.05,205.18
34.95,53.2,62.79,83.71,101.69,124.64,146.21,160.98,181.16,205.26
35.04,53.11,62.72,83.72,101.68,124.66,146.23,161.15,181.16,205.39
35.1,53.15,62.67,83.77,101.77,124.79,146.23,161.24,181.35,205.45
35.18,53.17,62.66,83.81,101.83,124.79,146.37,161.37,181.5,205.59
35.15,53.21,62.77,83.79,101.93,124.87,146.54,161.39,181.55,205.7
35.22,53.19,62.86,83.91,102.06,124.96,146.56,161.42,181.71,205.73
35.23,53.2,62.77,83.88,102.15,125.09,146.75,161.62,181.86,205.76
35.18,53.12,62.84,83.89,102.22,125.17,146.74,161.71,181.98,205.88
35.21,53.07,62.9,83.91,102.18,125.18,146.83,161.72,181.98,205.88
35.21,53.03,62.98,84.05,102.33,125.2,146.89,161.81,182.05,205.93
35.1,53.14,62.91,84.06,102.38,125.2,146.92,161.91,182.11,205.99
35.09,53.18,62.9,84.07,102.43,125.23,146.93,162.02,182.25,206.06
35.11,53.27,62.93,84.18,102.49,125.46,146.99,162.06,182.28,206.04
35.14,53.34,62.97,84.2,102.52,125.64,147.05,162.17,182.36,206.21
35.11,53.39,63.01,84.25,102.41,125.64,147.16,162.22,182.47,206.32
35.21,53.45,63.1,84.27,102.51,125.74,147.21,162.21,182.73,206.48
35.25,53.48,63.23,84.26,102.54,125.8,147.25,162.33,182.78,206.58
35.28,53.62,63.21,84.37,102.66,125.86,147.2,162.42,182.87,206.57
35.29,53.8,63.18,84.43,102.73,125.87,147.26,162.62,182.94,206.64
35.34,53.69,63.15,84.53,102.84,125.84,147.35,162.67,183.0,206.75
35.32,53.77,63.22,84.64,102.92,125.93,147.43,162.73,183.09,206.87
35.32,53.76,63.36,84.79,102.97,125.97,147.48,162.88,183.16,207.0
35.31,53.83,63.44,84.87,103.0,126.0,147.55,163.06,183.33,207.18
35.27,53.88,63.46,84.77,103.05,126.03,147.58,163.04,183.5,207.26
35.25,53.82,63.42,84.85,103.2,126.13,147.63,163.13,183.64,207.37
35.21,53.87,63.47,84.91,103.2,126.24,147.7,163.2,183.72,207.55
35.29,53.94,63.45,85.03,103.16,126.36,147.78,163.43,183.81,207.56
35.3,54.06,63.5,85.04,103.24,126.38,147.86,163.48,183.89,207.62
35.26,54.11,63.53,85.04,103.29,126.42,148.01,163.47,184.03,207.68
35.34,54.24,63.53,85.12,103.35,126.56,148.16,163.45,184.03,207.85
35.41,54.22,63.62,85.15,103.28,126.72,148.18,163.46,184.17,207.96
35.44,54.2,63.74,85.22,103.29,126.78,148.18,163.58,184.47,207.9
35.56,54.18,63.72,85.38,103.35,126.82,148.24,163.73,184.56,207.91
35.56,54.19,63.83,85.48,103.45,126.95,148.35,163.78,184.59,207.95
35.53,54.18,63.9,85.55,103.42,127.23,148.31,163.84,184.74,208.02
35.53,54.17,63.89,85.58,103.43,127.22,148.4,163.91,184.84,208.1
35.53,54.24,64.0,85.66,103.46,127.26,148.34,164.08,184.95,208.23
35.56,54.21,63.98,85.79,103.44,127.26,148.4,164.12,184.98,208.41
35.49,54.23,63.97,85.82,103.46,127.39,148.47,164.28,185.1,208.56
35.56,54.34,63.98,85.93,103.44,127.4,148.55,164.32,185.23,208.65
35.61,54.37,64.01,85.91,103.55,127.43,148.69,164.34,185.33,208.67
35.72,54.32,64.01,85.88,103.48,127.54,148.76,164.6,185.41,208.74
35.73,54.34,64.01,85.99,103.57,127.54,148.83,164.7,185.41,208.84
35.83,54.32,64.06,86.04,103.62,127.63,148.91,164.8,185.55,208.88
35.86,54.3,63.98,86.1,103.74,127.69,148.94,164.89,185.68,209.07
35.92,54.32,64.01,86.06,103.84,127.7,149.01,165.03,185.71,209.16
35.89,54.33,64.05,86.12,103.96,127.65,148.97,165.21,185.77,209.29
35.91,54.34,64.09,86.12,104.04,127.76,148.99,165.28,185.79,209.47
35.97,54.32,64.12,86.14,104.03,127.76,149.13,165.4,185.98,209.54
36.12,54.33,64.12,86.29,104.09,127.81,149.21,165.63,186.13,209.5
36.07,54.35,64.16,86.39,104.05,127.73,149.39,165.78,186.2,209.69
36.12,54.34,64.19,86.36,104.13,127.71,149.41,165.92,186.33,209.73
36.09,54.33,64.26,86.34,104.2,127.87,149.49,166.0,186.51,209.92
36.15,54.37,64.31,86.42,104.21,127.92,149.56,165.99,186.55,209.93
36.18,54.44,64.22,86.44,104.3,127.96,149.66,166.08,186.64,210.1
36.17,54.45,64.36,86.47,104.39,127.96,149.74,166.15,186.69,210.14
36.22,54.48,64.41,86.54,104.45,127.99,149.8,166.25,186.81,210.2
36.25,54.53,64.42,86.51,104.49,128.06,149.84,166.33,186.97,210.28
36.25,54.6,64.43,86.75,104.63,128.22,149.94,166.35,187.02,210.32
36.16,54.67,64.53,86.74,104.73,128.27,149.96,166.51,187.04,210.4
36.21,54.73,64.6,86.79,104.83,128.31,149.98,166.56,187.14,210.58
36.25,54.78,64.6,86.74,104.88,128.36,150.07,166.66,187.28,210.63
36.23,54.76,64.81,86.65,104.88,128.4,150.12,166.75,187.3,210.61
36.25,54.88,64.89,86.68,104.94,128.47,150.06,166.85,187.38,210.67
36.34,54.86,64.87,86.69,104.95,128.51,150.22,167.02,187.45,210.7
36.29,54.89,64.89,86.69,105.0,128.49,150.27,167.09,187.49,210.83
36.32,54.88,65.0,86.77,105.02,128.47,150.46,167.1,187.59,210.93
36.32,54.94,64.97,86.79,105.08,128.58,150.51,167.14,187.75,211.04
36.34,55.07,64.98,86.77,105.21,128.68,150.5,167.15,187.91,211.24
36.42,55.07,65.0,86.82,105.24,128.81,150.55,167.32,187.95,211.4
36.36,55.06,65.11,86.81,105.24,128.9,150.6,167.43,188.0,211.52
36.46,55.07,65.1,86.82,105.21,129.02,150.67,167.54,188.15,211.59
36.63,55.19,65.11,86.83,105.21,129.13,150.67,167.66,188.28,211.7
36.71,55.24,65.15,86.93,105.42,129.23,150.72,167.73,188.35,211.72
36.74,55.24,65.18,86.9,105.39,129.35,150.75,167.91,188.51,211.82
36.77,55.22,65.12,86.94,105.48,129.32,150.87,168.04,188.58,211.93
36.82,55.2,65.18,86.91,105.47,129.45,151.03,168.11,188.65,212.02
36.78,55.22,65.3,86.87,105.52,129.43,151.2,168.31,188.74,212.14
36.78,55.22,65.36,86.89,105.54,129.56,151.39,168.39,188.78,212.23
36.93,55.24,65.31,87.05,105.65,129.55,151.43,168.43,188.91,212.34
36.94,55.21,65.34,87.09,105.69,129.66,151.6,168.39,189.12,212.5
36.96,55.24,65.4,87.18,105.72,129.69,151.76,168.55,189.27,212.45
37.07,55.28,65.44,87.32,105.66,129.68,151.81,168.69,189.32,212.58
37.17,55.34,65.42,87.46,105.75,129.71,151.87,168.85,189.28,212.69
37.14,55.26,65.43,87.45,105.74,129.79,151.91,168.92,189.37,213.05
37.15,55.29,65.54,87.5,105.88,129.75,151.95,168.93,189.36,213.2
37.17,55.29,65.55,87.54,105.95,129.84,152.01,169.1,189.4,213.3
37.17,55.3,65.53,87.56,105.99,129.83,152.17,169.1,189.37,213.48
37.13,55.4,65.51,87.56,106.16,129.85,152.18,169.08,189.4,213.63
37.13,55.41,65.52,87.55,106.2,129.8,152.26,169.19,189.42,213.72
37.24,55.39,65.56,87.5,106.25,129.85,152.37,169.12,189.47,213.77
37.15,55.45,65.65,87.54,106.43,129.87,152.48,169.24,189.46,213.78
37.16,55.48,65.64,87.62,106.51,129.99,152.57,169.42,189.58,213.89
37.14,55.42,65.62,87.67,106.47,130.12,152.59,169.5,189.73,213.98
37.07,55.45,65.65,87.71,106.62,130.15,152.7,169.52,189.88,214.13
37.07,55.53,65.63,87.78,106.88,130.2,152.69,169.65,189.85,214.21
37.08,55.55,65.66,87.83,106.83,130.36,152.62,169.75,190.01,214.28
37.04,55.56,65.69,87.9,106.86,130.5,152.72,169.9,190.11,214.41
37.12,55.64,65.79,87.95,106.9,130.7,152.81,169.9,190.24,214.49
37.15,55.61,65.78,88.06,106.95,130.71,152.79,169.93,190.26,214.72
37.21,55.58,65.8,88.05,106.96,130.78,152.85,170.0,190.34,214.8
37.14,55.52,65.92,88.04,107.09,130.84,152.86,170.12,190.48,214.86
37.07,55.49,65.89,88.09,107.15,130.87,152.95,170.09,190.56,214.95
37.08,55.5,65.97,88.13,107.23,130.92,153.06,170.13,190.65,215.05
37.19,55.42,66.03,88.22,107.33,131.09,153.09,170.31,190.82,215.05
37.1,55.46,65.99,88.34,107.32,131.33,153.13,170.38,190.94,215.12
37.1,55.46,66.03,88.3,107.31,131.3,153.27,170.45,190.92,215.08
37.16,55.5,66.1,88.34,107.34,131.39,153.3,170.53,191.0,215.19
37.19,55.48,66.24,88.34,107.38,131.5,153.28,170.71,190.99,215.29
37.21,55.45,66.25,88.33,107.47,131.46,153.37,170.79,191.18,215.31
37.15,55.4,66.37,88.34,107.56,131.58,153.44,170.88,191.29,215.3
37.16,55.44,66.47,88.4,107.67,131.65,153.51,170.88,191.33,215.36
37.11,55.45,66.55,88.39,107.76,131.62,153.57,170.94,191.44,215.42
37.18,55.39,66.63,88.37,107.76,131.65,153.7,171.06,191.58,215.55
37.24,55.46,66.61,88.43,107.82,131.68,153.8,171.07,191.69,215.65
37.29,55.47,66.68,88.41,107.93,131.78,153.91,171.27,191.75,215.7
37.35,55.41,66.63,88.56,108.02,131.84,154.06,171.36,191.9,215.88
37.32,55.47,66.73,88.57,108.09,131.92,154.1,171.45,191.97,215.96
37.24,55.48,66.66,88.66,108.13,131.99,154.13,171.36,192.14,216.15
37.3,55.58,66.68,88.68,108.04,132.02,154.24,171.41,192.21,216.32
37.34,55.59,66.69,88.76,108.07,132.11,154.28,171.5,192.42,216.45
37.31,55.58,66.68,88.85,108.09,132.22,154.33,171.61,192.5,216.56
37.41,55.54,66.8,88.95,108.16,132.25,154.39,171.6,192.52,216.62
37.43,55.52,66.83,88.99,108.28,132.32,154.46,171.68,192.61,216.73
37.4,55.52,66.96,89.0,108.28,132.4,154.55,171.66,192.74,216.86
37.4,55.57,66.97,88.92,108.36,132.53,154.7,171.81,192.82,217.06
37.37,55.49,67.05,88.98,108.42,132.57,154.68,171.79,192.92,217.03
37.31,55.6,67.11,88.98,108.46,132.58,154.69,171.77,192.95,217.11
37.41,55.63,67.11,88.97,108.48,132.56,154.73,171.85,192.98,217.26
37.4,55.63,67.13,88.91,108.65,132.68,154.7,171.93,193.09,217.51
37.44,55.62,67.1,88.96,108.78,132.68,154.65,172.03,193.1,217.57
37.44,55.5,67.14,89.01,108.87,132.69,154.68,172.2,193.28,217.64
37.41,55.5,67.19,89.08,108.86,132.69,154.78,172.22,193.53,217.72
37.35,55.64,67.26,89.16,108.88,132.84,154.88,172.29,193.61,217.88
37.32,55.6,67.32,89.19,108.86,132.84,154.83,172.44,193.78,217.84
37.3,55.54,67.32,89.19,108.99,132.84,154.85,172.41,193.92,218.05
37.29,55.51,67.28,89.2,108.99,132.88,154.94,172.4,194.02,218.22
37.32,55.43,67.45,89.26,109.09,132.84,155.04,172.42,194.09,218.28
37.38,55.49,67.53,89.31,109.11,132.86,155.11,172.47,194.21,218.33
37.47,55.6,67.49,89.36,109.17,132.87,155.29,172.57,194.34,218.35
37.5,55.51,67.54,89.43,109.19,132.94,155.33,172.73,194.45,218.38
37.45,55.61,67.66,89.49,109.25,132.99,155.39,172.86,194.47,218.44
37.46,55.7,67.63,89.52,109.28,132.99,155.37,172.83,194.63,218.61
37.36,55.88,67.59,89.62,109.38,133.01,155.42,173.04,194.74,218.76
37.45,55.9,67.67,89.69,109.44,133.12,155.55,173.12,194.9,218.87
37.5,55.97,67.69,89.79,109.54,133.16,155.66,173.22,194.95,218.94
37.52,55.99,67.72,89.86,109.57,133.21,155.7,173.27,195.11,218.93
37.38,56.04,67.75,89.85,109.57,133.27,155.73,173.31,195.21,218.96
37.42,56.17,67.81,90.0,109.57,133.39,155.68,173.35,195.39,219.09
37.52,56.16,67.94,90.03,109.54,133.33,155.75,173.45,195.48,219.28
37.5,56.19,67.94,90.11,109.61,133.44,155.85,173.55,195.58,219.38
37.52,56.3,67.92,90.26,109.72,133.39,155.91,173.7,195.81,219.44
37.6,56.32,67.91,90.26,109.86,133.4,155.92,173.76,195.87,219.48
37.63,56.32,67.85,90.33,109.93,133.47,155.95,173.95,196.06,219.62
37.61,56.3,67.92,90.38,109.95,133.51,155.96,174.0,196.18,219.59
37.56,56.33,67.98,90.42,110.02,133.56,155.99,174.04,196.36,219.73
37.5,56.27,68.03,90.47,110.14,133.6,156.02,174.13,196.3,219.73
37.55,56.3,68.07,90.49,110.12,133.63,155.98,174.16,196.34,219.83
37.54,56.26,68.11,90.48,110.18,133.67,155.97,174.23,196.4,219.91
37.66,56.21,68.15,90.44,110.26,133.81,155.94,174.41,196.54,219.99
37.63,56.37,68.2,90.49,110.21,133.93,156.02,174.55,196.6,220.08
37.63,56.39,68.44,90.5,110.27,134.03,156.21,174.68,196.57,220.21
37.77,56.38,68.47,90.73,110.36,134.12,156.21,174.77,196.64,220.2
37.87,56.53,68.51,90.7,110.43,134.17,156.33,174.91,196.71,220.33
37.84,56.63,68.58,90.72,110.62,134.23,156.37,175.03,196.79,220.32
37.83,56.67,68.52,90.74,110.71,134.3,156.59,175.09,196.9,220.31
37.9,56.7,68.65,90.73,110.87,134.33,156.65,175.15,196.99,220.41
37.94,56.75,68.68,90.57,110.91,134.41,156.71,175.21,197.12,220.57
37.98,56.81,68.58,90.52,110.98,134.56,156.7,175.25,197.24,220.71
38.01,56.78,68.71,90.63,110.97,134.67,156.72,175.35,197.3,220.71
38.06,56.78,68.75,90.58,111.0,134.74,156.78,175.53,197.53,220.84
37.95,56.78,68.79,90.65,111.04,134.77,156.71,175.67,197.74,220.88
38.04,56.91,68.87,90.75,111.23,134.82,156.73,175.78,197.94,220.97
38.01,56.96,68.97,90.87,111.41,134.86,156.89,175.85,198.14,221.15
37.96,57.12,69.02,90.91,111.41,134.93,156.95,175.93,198.32,221.22
37.96,57.19,69.12,90.94,111.48,135.01,157.0,176.03,198.47,221.39
37.96,57.31,69.15,91.0,111.46,135.14,157.04,176.14,198.51,221.45
37.95,57.37,69.25,91.1,111.48,135.21,157.15,176.25,198.62,221.57
37.94,57.42,69.36,91.18,111.52,135.2,157.24,176.32,198.67,221.71
38.04,57.45,69.44,91.25,111.55,135.31,157.35,176.42,198.79,221.71
37.98,57.52,69.52,91.39,111.55,135.36,157.43,176.53,198.84,221.78
37.98,57.49,69.48,91.47,111.69,135.41,157.51,176.64,198.88,221.95
38.01,57.43,69.5,91.52,111.71,135.45,157.63,176.74,198.96,221.98
38.04,57.49,69.46,91.41,111.7,135.55,157.69,176.81,198.96,222.14
38.12,57.52,69.51,91.5,111.71,135.6,157.83,176.85,199.05,222.32
38.17,57.6,69.6,91.48,111.78,135.66,158.0,176.89,199.09,222.3
38.24,57.58,69.62,91.47,111.84,135.74,158.02,177.07,199.12,222.43
38.28,57.54,69.74,91.45,111.9,135.72,158.14,177.13,199.2,222.56
38.27,57.61,69.76,91.49,112.0,135.81,158.23,177.26,199.25,222.71
38.35,57.58,69.67,91.5,112.06,135.95,158.4,177.25,199.42,222.82
38.39,57.57,69.65,91.49,112.1,136.01,158.42,177.35,199.49,223.03
38.4,57.66,69.63,91.49,112.17,136.14,158.54,177.4,199.68,223.2
38.43,57.76,69.7,91.55,112.25,136.27,158.64,177.47,199.72,223.19
38.43,57.77,69.68,91.59,112.25,136.42,158.81,177.5,199.81,223.2
38.4,57.76,69.65,91.65,112.31,136.48,158.85,177.49,199.88,223.45
38.5,57.78,69.75,91.67,112.43,136.55,158.93,177.56,199.96,223.52
38.57,57.88,69.81,91.77,112.44,136.5,159.02,177.57,200.05,223.72
38.51,57.93,69.8,91.79,112.47,136.55,159.07,177.57,200.03,223.82
38.46,57.94,69.78,91.76,112.52,136.45,159.1,177.57,200.16,224.05
38.38,57.99,69.81,91.77,112.65,136.57,159.25,177.64,200.25,224.17
38.37,57.87,69.87,91.71,112.72,136.54,159.26,177.71,200.41,224.31
38.39,57.99,69.93,91.81,112.7,136.66,159.27,177.83,200.45,224.22
38.45,57.99,70.02,91.94,112.67,136.66,159.31,177.85,200.51,224.39
38.4,58.05,70.08,91.92,112.81,136.65,159.41,177.98,200.64,224.4
38.39,58.05,70.28,91.92,112.92,136.73,159.52,178.01,200.67,224.53
38.35,58.09,70.22,92.07,112.93,136.73,159.53,178.11,200.69,224.75
38.38,58.04,70.27,92.2,112.96,136.84,159.68,178.21,200.75,224.77
38.24,58.02,70.26,92.31,113.05,136.95,159.86,178.29,200.83,224.86
38.28,58.07,70.12,92.35,113.0,137.04,159.94,178.48,200.9,224.98
38.31,58.19,70.15,92.34,113.03,137.25,160.11,178.49,201.0,225.01
38.31,58.16,70.22,92.4,113.05,137.29,160.19,178.73,201.15,225.09
38.3,58.2,70.34,92.48,113.08,137.35,160.31,178.81,201.22,225.18
38.25,58.29,70.39,92.54,112.98,137.38,160.44,179.05,201.36,225.31
38.17,58.27,70.45,92.57,113.16,137.49,160.57,179.2,201.45,225.35
38.2,58.3,70.44,92.61,113.07,137.51,160.65,179.24,201.5,225.42
38.21,58.34,70.48,92.58,113.18,137.6,160.85,179.22,201.61,225.65
38.14,58.39,70.6,92.62,113.21,137.58,160.83,179.25,201.61,225.8
38.07,58.44,70.59,92.71,113.2,137.62,160.86,179.47,201.71,225.81
38.17,58.56,70.76,92.73,113.32,137.66,160.9,179.45,201.7,225.94
38.19,58.52,70.77,92.72,113.45,137.73,160.99,179.52,201.71,226.17
38.2,58.54,70.78,92.62,113.56,137.89,161.05,179.45,201.79,226.12
38.17,58.67,70.86,92.68,113.67,138.0,161.06,179.59,201.93,226.28
38.21,58.71,70.78,92.71,113.74,138.08,161.18,179.71,202.01,226.34
38.22,58.76,70.77,92.73,113.83,138.1,161.36,179.91,202.14,226.43
38.32,58.87,70.73,92.74,113.86,138.14,161.45,180.04,202.23,226.58
38.41,58.94,70.75,92.86,113.95,138.23,161.53,180.29,202.36,226.72
38.41,58.98,70.77,92.84,113.98,138.23,161.58,180.26,202.47,226.84
38.33,58.95,70.81,92.86,114.13,138.17,161.6,180.28,202.51,227.1
38.45,58.99,70.88,92.93,114.06,138.16,161.56,180.32,202.69,227.19
38.53,58.98,70.98,92.93,114.09,138.16,161.56,180.5,202.95,227.24
38.53,58.94,71.02,93.05,114.23,138.18,161.74,180.52,203.03,227.33
38.58,58.96,71.05,93.06,114.37,138.3,161.76,180.7,203.11,227.46
38.61,58.99,71.15,93.12,114.39,138.37,161.87,180.61,203.16,227.59
38.72,59.04,71.09,93.13,114.43,138.48,161.89,180.79,203.3,227.7
38.8,59.05,71.08,93.2,114.44,138.59,161.87,180.85,203.43,227.87
38.9,59.01,71.15,93.2,114.47,138.75,161.94,180.93,203.58,228.03
38.87,59.05,71.27,93.23,114.64,138.72,162.02,181.02,203.62,228.11
38.88,59.18,71.23,93.22,114.78,138.7,162.11,181.11,203.72,228.26
38.88,59.12,71.21,93.3,114.8,138.74,162.13,181.14,203.75,228.48
38.92,59.25,71.25,93.37,114.83,138.87,162.26,181.21,203.86,228.6
38.95,59.2,71.3,93.47,114.74,138.95,162.36,181.21,203.87,228.62
38.92,59.13,71.26,93.59,114.79,139.05,162.38,181.36,204.0,228.65
38.97,59.1,71.22,93.56,114.8,139.15,162.44,181.45,204.1,228.69
38.96,59.13,71.26,93.5,114.82,139.16,162.46,181.53,204.2,228.82
38.98,59.13,71.22,93.56,114.84,139.21,162.42,181.58,204.23,228.88
38.94,59.21,71.36,93.58,114.93,139.24,162.45,181.66,204.42,228.99
38.98,59.23,71.38,93.58,114.9,139.33,162.45,181.7,204.49,229.09
38.95,59.22,71.34,93.62,114.97,139.39,162.59,181.67,204.7,229.13
39.02,59.33,71.33,93.62,114.88,139.42,162.66,181.71,204.76,229.3
39.03,59.3,71.35,93.7,114.9,139.48,162.79,181.75,204.93,229.36
38.99,59.25,71.37,93.83,114.93,139.51,162.83,181.87,204.96,229.45
38.97,59.27,71.52,93.97,115.08,139.55,163.05,181.92,205.01,229.52
39.1,59.27,71.57,94.06,115.12,139.56,163.11,182.0,205.12,229.58
39.1,59.36,71.58,94.16,115.2,139.55,163.19,182.07,205.21,229.63
39.08,59.49,71.55,94.28,115.22,139.71,163.28,182.25,205.35,229.7
38.98,59.48,71.55,94.26,115.27,139.78,163.35,182.34,205.39,229.81
38.95,59.47,71.46,94.18,115.33,139.79,163.46,182.34,205.45,229.86
39.08,59.52,71.5,94.15,115.34,139.85,163.47,182.3,205.54,229.95
39.13,59.54,71.48,94.3,115.49,139.95,163.58,182.41,205.77,230.17
39.23,59.58,71.43,94.37,115.6,140.0,163.64,182.47,205.92,230.25
39.21,59.69,71.43,94.4,115.75,140.11,163.59,182.53,206.03,230.46
39.32,59.59,71.56,94.45,115.81,140.2,163.65,182.7,206.08,230.55
39.22,59.66,71.57,94.52,115.8,140.18,163.73,182.75,206.13,230.61
39.22,59.57,71.49,94.61,115.89,140.19,163.88,182.85,206.22,230.63
39.25,59.7,71.5,94.65,116.0,140.3,163.92,182.99,206.3,230.7
39.19,59.74,71.51,94.78,116.03,140.37,164.07,183.16,206.4,230.81
39.24,59.7,71.53,94.72,116.04,140.46,164.12,183.21,206.48,230.93
39.34,59.76,71.53,94.73,116.01,140.54,164.2,183.26,206.59,231.06
39.4,59.7,71.58,94.79,115.98,140.72,164.24,183.32,206.64,231.11
39.51,59.72,71.59,94.82,116.01,140.79,164.27,183.41,206.73,231.13
39.52,59.67,71.67,94.83,116.08,140.86,164.33,183.54,206.8,231.22
39.57,59.75,71.73,94.94,116.15,140.92,164.41,183.6,206.98,231.24
39.72,59.64,71.78,94.93,116.17,141.04,164.56,183.66,207.02,231.37
39.83,59.65,71.76,94.97,116.22,141.08,164.64,183.8,207.08,231.53
39.78,59.66,71.77,95.04,116.25,141.1,164.76,183.95,207.15,231.66
39.69,59.68,71.82,95.06,116.34,141.23,164.81,184.09,207.19,231.74
39.69,59.78,71.85,95.01,116.43,141.36,164.96,184.1,207.18,231.91
39.65,59.86,71.94,95.0,116.43,141.33,165.05,184.16,207.16,232.05
39.64,59.84,71.92,95.02,116.51,141.35,165.13,184.3,207.28,232.15
39.65,59.79,71.89,95.09,116.64,141.39,165.17,184.44,207.41,232.21
39.63,59.86,71.91,95.24,116.66,141.5,165.31,184.52,207.48,232.41
39.61,59.9,72.01,95.3,116.73,141.5,165.42,184.54,207.59,232.51
39.68,59.97,72.04,95.4,116.92,141.76,165.49,184.58,207.63,232.64
39.79,59.99,72.09,95.42,116.94,141.71,165.62,184.73,207.66,232.71
39.75,59.94,72.07,95.48,116.88,141.84,165.71,184.78,207.73,232.84
39.62,59.97,72.08,95.49,117.05,141.89,165.81,184.93,207.79,233.01
39.61,59.9,72.13,95.51,117.12,141.87,165.93,184.88,207.86,233.2
