lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
3.91,3.88,4.92,5.26,6.49,6.65,7.27,8.57,8.25,9.53
3.98,3.92,4.99,5.25,6.5,6.72,7.26,8.6,8.33,9.53
4.04,3.88,4.97,5.31,6.64,6.77,7.25,8.81,8.5,9.6
4.12,3.89,4.99,5.44,6.76,6.81,7.24,8.95,8.61,9.83
4.13,3.85,5.01,5.46,6.83,6.81,7.16,9.02,8.68,9.93
4.13,3.74,5.01,5.53,6.83,6.97,7.15,9.1,8.85,10.08
4.11,3.61,5.02,5.51,6.89,7.03,7.16,9.29,8.8,10.15
4.12,3.69,4.94,5.51,7.09,7.02,7.2,9.33,8.88,10.21
4.12,3.74,5.01,5.55,7.08,7.11,7.38,9.42,8.98,10.3
4.22,3.84,5.07,5.65,7.23,7.08,7.29,9.43,9.1,10.28
4.16,3.82,5.06,5.75,7.38,7.16,7.39,9.36,9.27,10.42
4.18,3.74,5.16,5.77,7.4,7.14,7.47,9.41,9.34,10.63
4.18,3.77,5.18,5.79,7.48,7.32,7.55,9.53,9.37,10.71
4.36,3.82,5.3,5.84,7.56,7.46,7.71,9.63,9.46,10.81
4.41,3.89,5.32,5.91,7.62,7.47,7.67,9.72,9.61,10.89
4.44,3.84,5.33,5.9,7.63,7.65,7.77,9.86,9.63,11.0
4.49,3.95,5.33,5.95,7.64,7.7,7.86,10.0,9.68,11.12
4.5,4.06,5.42,6.09,7.62,7.86,7.83,10.03,9.85,11.24
4.58,4.16,5.48,6.08,7.65,7.78,7.9,10.15,9.94,11.32
4.61,4.11,5.61,6.12,7.71,7.9,7.97,10.19,10.04,11.48
4.54,4.16,5.68,6.21,7.76,8.0,8.15,10.35,10.12,11.46
4.46,4.19,5.63,6.25,7.82,8.15,8.24,10.43,10.15,11.57
4.51,4.18,5.7,6.31,7.82,8.26,8.39,10.48,10.19,11.64
4.53,4.2,5.8,6.41,7.82,8.41,8.44,10.53,10.31,11.76
4.54,4.24,5.78,6.47,7.8,8.44,8.61,10.55,10.5,11.91
4.61,4.36,5.89,6.55,7.82,8.38,8.75,10.65,10.57,11.93
4.61,4.35,5.97,6.57,7.9,8.41,8.89,10.74,10.68,12.08
4.59,4.51,6.02,6.6,7.93,8.38,9.07,10.84,10.77,12.25
4.56,4.57,6.1,6.55,8.02,8.39,9.19,10.87,10.94,12.35
4.68,4.53,6.21,6.62,8.15,8.47,9.32,10.97,10.98,12.45
4.74,4.51,6.18,6.65,8.16,8.48,9.43,11.05,11.04,12.5
4.69,4.58,6.18,6.68,8.25,8.58,9.52,11.17,11.12,12.67
4.71,4.75,6.29,6.73,8.33,8.68,9.63,11.28,11.2,12.7
4.68,4.88,6.29,6.77,8.35,8.73,9.69,11.27,11.22,12.78
4.7,4.99,6.3,6.82,8.34,8.82,9.72,11.38,11.28,12.81
4.68,5.05,6.37,6.72,8.31,8.91,9.79,11.5,11.4,13.01
4.7,4.95,6.42,6.61,8.39,8.96,9.87,11.71,11.47,13.07
4.55,5.08,6.39,6.61,8.49,9.07,9.87,11.83,11.57,13.04
4.62,5.12,6.48,6.67,8.56,9.21,9.97,11.91,11.65,13.15
4.61,5.09,6.53,6.63,8.57,9.25,10.02,12.04,11.84,13.3
4.53,5.11,6.52,6.69,8.64,9.24,10.18,12.18,11.97,13.51
4.5,5.04,6.66,6.67,8.65,9.27,10.23,12.25,11.98,13.57
4.47,5.01,6.58,6.7,8.66,9.4,10.32,12.28,12.01,13.66
4.51,5.01,6.68,6.79,8.72,9.35,10.36,12.39,12.1,13.8
4.55,5.08,6.7,6.88,8.67,9.42,10.44,12.55,12.12,13.98
4.65,5.08,6.72,6.98,8.81,9.46,10.44,12.6,12.23,14.1
4.74,5.08,6.68,6.98,8.81,9.42,10.56,12.67,12.3,14.24
4.73,5.11,6.69,7.06,8.95,9.44,10.65,12.7,12.34,14.32
4.79,5.34,6.71,7.09,8.88,9.47,10.64,12.82,12.42,14.25
4.81,5.44,6.75,7.11,8.9,9.5,10.86,12.94,12.49,14.35
4.81,5.57,6.83,7.22,8.95,9.71,10.89,12.99,12.54,14.45
4.97,5.68,6.92,7.3,8.95,9.73,10.98,13.09,12.66,14.68
5.02,5.73,6.96,7.32,8.99,9.85,11.09,13.2,12.64,14.78
5.02,5.87,7.01,7.3,9.07,9.9,11.18,13.3,12.78,14.91
5.06,5.97,7.17,7.32,9.2,9.9,11.21,13.42,12.89,15.03
5.11,6.02,7.19,7.38,9.27,9.93,11.24,13.46,12.96,15.11
5.13,6.0,7.22,7.51,9.42,10.01,11.29,13.53,13.13,15.28
5.14,6.03,7.23,7.66,9.43,10.06,11.23,13.61,13.25,15.38
5.12,6.11,7.28,7.69,9.48,10.14,11.24,13.65,13.3,15.5
5.25,6.07,7.36,7.8,9.53,10.25,11.28,13.7,13.31,15.49
5.29,6.15,7.47,7.98,9.57,10.3,11.41,13.72,13.42,15.5
5.3,6.17,7.55,7.92,9.68,10.41,11.48,13.78,13.46,15.61
5.25,6.29,7.64,7.92,9.74,10.43,11.59,13.89,13.51,15.78
5.25,6.31,7.64,7.83,9.83,10.57,11.58,13.99,13.64,15.87
5.19,6.41,7.69,7.77,9.94,10.61,11.74,14.19,13.68,16.03
5.2,6.27,7.73,7.78,10.01,10.74,11.88,14.29,13.75,16.09
5.15,6.29,7.79,7.86,10.08,10.72,11.9,14.37,13.85,16.13
5.24,6.34,7.81,7.93,10.14,10.82,12.0,14.49,13.91,16.17
