lambda_0.1,lambda_0.2,lambda_0.3,lambda_0.4,lambda_0.5,lambda_0.6,lambda_0.7,lambda_0.8,lambda_0.9,lambda_1.0
15.458,23.477,27.741,31.643,34.614,40.673,42.705,47.453,49.98,50.567
15.446,23.463,27.735,31.641,34.589,40.67,42.712,47.487,49.985,50.533
15.463,23.471,27.745,31.631,34.643,40.693,42.726,47.476,49.984,50.525
15.475,23.439,27.709,31.643,34.668,40.663,42.738,47.453,49.991,50.531
15.495,23.392,27.695,31.635,34.681,40.671,42.739,47.474,49.97,50.498
15.501,23.386,27.722,31.64,34.649,40.643,42.774,47.473,49.971,50.513
15.514,23.413,27.729,31.642,34.624,40.68,42.842,47.541,50.082,50.523
15.546,23.421,27.726,31.622,34.569,40.675,42.87,47.617,50.073,50.458
15.57,23.436,27.728,31.657,34.674,40.693,42.862,47.664,50.089,50.474
15.575,23.446,27.751,31.662,34.689,40.674,42.796,47.627,50.095,50.547
15.571,23.435,27.741,31.679,34.617,40.681,42.808,47.586,50.038,50.602
15.548,23.414,27.752,31.647,34.614,40.756,42.754,47.615,50.027,50.597
15.541,23.411,27.772,31.62,34.639,40.774,42.788,47.647,50.034,50.665
15.525,23.424,27.793,31.596,34.643,40.776,42.811,47.675,50.013,50.712
15.552,23.416,27.779,31.588,34.616,40.805,42.82,47.667,50.031,50.693
15.57,23.393,27.789,31.629,34.641,40.822,42.842,47.669,49.973,50.696
15.582,23.367,27.78,31.634,34.702,40.843,42.845,47.663,49.936,50.691
15.586,23.403,27.783,31.653,34.73,40.809,42.838,47.716,50.01,50.665
15.589,23.444,27.813,31.616,34.691,40.817,42.812,47.635,50.064,50.657
15.593,23.458,27.792,31.622,34.71,40.789,42.839,47.656,50.016,50.616
15.623,23.497,27.756,31.656,34.728,40.77,42.823,47.669,50.016,50.637
15.614,23.504,27.752,31.637,34.738,40.751,42.814,47.712,50.044,50.534
15.603,23.47,27.754,31.646,34.761,40.753,42.775,47.694,50.067,50.581
15.598,23.492,27.73,31.651,34.816,40.772,42.851,47.763,50.13,50.626
15.602,23.479,27.722,31.673,34.796,40.795,42.88,47.759,50.136,50.579
15.613,23.469,27.78,31.706,34.751,40.806,42.923,47.779,50.161,50.532
15.646,23.527,27.774,31.698,34.766,40.768,42.924,47.785,50.194,50.463
15.627,23.529,27.801,31.686,34.792,40.78,42.934,47.782,50.219,50.476
15.644,23.531,27.826,31.69,34.8,40.773,42.933,47.757,50.323,50.502
15.639,23.53,27.815,31.668,34.8,40.859,43.001,47.738,50.362,50.509
15.651,23.508,27.888,31.685,34.798,40.841,42.954,47.777,50.392,50.506
15.637,23.506,27.923,31.706,34.806,40.853,42.964,47.833,50.457,50.534
15.624,23.522,27.97,31.669,34.804,40.823,42.977,47.857,50.475,50.506
15.627,23.502,27.941,31.665,34.819,40.843,43.019,47.908,50.5,50.535
15.631,23.499,27.918,31.72,34.89,40.85,43.063,47.966,50.495,50.536
15.615,23.544,27.916,31.787,34.932,40.792,43.07,48.046,50.638,50.473
15.61,23.521,27.925,31.798,34.882,40.816,43.103,48.098,50.717,50.529
15.607,23.529,27.951,31.758,34.88,40.851,43.156,48.048,50.795,50.56
15.617,23.528,27.945,31.731,34.91,40.867,43.146,48.033,50.868,50.557
15.624,23.505,27.957,31.733,34.93,40.852,43.128,48.046,50.844,50.582
15.607,23.545,27.949,31.739,34.968,40.876,43.12,47.992,50.896,50.636
15.59,23.593,27.915,31.755,34.932,40.88,43.126,47.963,50.925,50.599
15.598,23.602,27.92,31.767,34.942,40.867,43.142,47.999,50.972,50.512
15.618,23.612,27.921,31.808,34.947,40.882,43.098,47.983,50.928,50.47
15.623,23.588,27.915,31.802,34.918,40.901,43.177,47.956,50.947,50.511
15.645,23.611,27.962,31.844,34.927,40.913,43.199,48.004,51.048,50.582
15.658,23.604,27.964,31.895,34.963,40.951,43.165,48.003,51.063,50.53
15.654,23.581,27.976,31.849,34.993,40.94,43.153,48.008,51.034,50.497
15.657,23.596,27.963,31.852,35.013,40.931,43.209,47.973,51.038,50.531
15.654,23.6,27.993,31.877,35.001,40.988,43.149,47.993,51.104,50.54
15.651,23.623,27.983,31.863,34.999,40.975,43.174,48.078,51.071,50.523
15.667,23.648,27.966,31.837,35.0,40.949,43.233,48.052,51.06,50.531
15.679,23.648,27.994,31.833,35.044,40.964,43.246,48.036,51.041,50.484
15.681,23.669,28.002,31.89,35.069,40.961,43.177,48.042,51.027,50.496
15.691,23.694,27.969,31.912,35.063,41.053,43.179,47.978,51.007,50.535
15.701,23.689,27.985,31.966,35.075,41.053,43.197,48.036,50.989,50.58
15.693,23.653,28.008,31.959,35.086,41.114,43.117,47.99,50.992,50.574
15.718,23.64,28.032,31.979,35.083,41.169,43.156,47.994,50.973,50.652
15.722,23.647,28.031,31.988,35.132,41.167,43.113,47.988,50.995,50.69
15.722,23.683,27.98,31.989,35.126,41.157,43.122,48.021,50.951,50.725
15.734,23.645,28.002,31.997,35.204,41.101,43.127,48.055,50.938,50.702
15.719,23.612,28.037,32.003,35.266,41.157,43.193,48.071,51.025,50.7
15.757,23.633,28.048,32.019,35.296,41.14,43.115,48.097,51.03,50.827
15.764,23.638,28.082,32.037,35.262,41.12,43.087,48.103,50.996,50.839
15.781,23.667,28.063,32.055,35.321,41.248,43.114,48.124,51.005,50.949
15.756,23.655,28.059,32.099,35.321,41.245,43.143,48.159,51.045,50.971
15.737,23.643,28.069,32.099,35.294,41.188,43.215,48.202,51.125,51.004
15.728,23.674,28.058,32.081,35.311,41.2,43.159,48.261,51.217,51.126
15.743,23.669,28.079,32.045,35.247,41.245,43.157,48.262,51.279,51.201
15.74,23.679,28.063,32.05,35.224,41.248,43.152,48.244,51.332,51.184
15.739,23.704,28.061,32.086,35.224,41.27,43.181,48.314,51.395,51.205
15.754,23.696,28.088,32.113,35.215,41.291,43.068,48.324,51.382,51.179
15.725,23.699,28.175,32.117,35.244,41.319,43.054,48.372,51.345,51.173
15.72,23.696,28.16,32.093,35.224,41.322,43.02,48.431,51.417,51.139
15.713,23.726,28.169,32.09,35.229,41.33,43.088,48.49,51.385,51.128
15.707,23.719,28.142,32.161,35.219,41.325,43.094,48.524,51.42,51.155
15.716,23.69,28.167,32.18,35.207,41.298,43.122,48.505,51.366,51.217
15.714,23.677,28.169,32.154,35.252,41.307,43.128,48.501,51.368,51.229
15.738,23.684,28.212,32.151,35.328,41.347,43.084,48.507,51.386,51.267
15.747,23.649,28.206,32.129,35.318,41.399,43.124,48.556,51.449,51.259
15.759,23.655,28.208,32.171,35.297,41.406,43.176,48.582,51.394,51.268
15.739,23.623,28.198,32.185,35.331,41.411,43.254,48.577,51.403,51.3
15.725,23.62,28.245,32.238,35.348,41.429,43.305,48.63,51.414,51.356
15.72,23.658,28.222,32.237,35.38,41.479,43.282,48.696,51.372,51.382
15.709,23.693,28.262,32.218,35.358,41.487,43.316,48.722,51.436,51.368
15.718,23.708,28.267,32.223,35.329,41.474,43.289,48.646,51.497,51.431
15.735,23.742,28.26,32.19,35.378,41.529,43.324,48.659,51.48,51.502
15.736,23.743,28.24,32.203,35.398,41.572,43.309,48.611,51.517,51.551
15.741,23.753,28.253,32.24,35.448,41.558,43.373,48.569,51.514,51.588
15.766,23.749,28.239,32.276,35.386,41.59,43.356,48.623,51.524,51.612
15.748,23.789,28.251,32.283,35.402,41.633,43.4,48.624,51.524,51.586
15.76,23.831,28.257,32.292,35.433,41.701,43.354,48.596,51.503,51.665
15.754,23.843,28.237,32.314,35.431,41.739,43.394,48.668,51.553,51.686
15.768,23.856,28.291,32.316,35.45,41.721,43.417,48.719,51.562,51.708
15.767,23.839,28.248,32.295,35.437,41.707,43.331,48.776,51.62,51.768
15.774,23.847,28.236,32.342,35.438,41.681,43.261,48.793,51.695,51.714
15.796,23.818,28.231,32.305,35.428,41.642,43.245,48.808,51.719,51.655
15.796,23.809,28.204,32.339,35.449,41.686,43.212,48.796,51.755,51.742
15.805,23.813,28.216,32.307,35.475,41.665,43.219,48.814,51.788,51.786
15.822,23.788,28.224,32.319,35.433,41.71,43.274,48.817,51.851,51.796
15.844,23.791,28.248,32.292,35.451,41.654,43.256,48.871,51.859,51.788
15.84,23.792,28.298,32.287,35.486,41.668,43.27,48.933,51.885,51.788
15.855,23.779,28.289,32.224,35.523,41.681,43.326,49.022,51.856,51.832
15.863,23.807,28.288,32.225,35.515,41.678,43.308,49.054,51.814,51.907
15.866,23.805,28.265,32.237,35.495,41.709,43.351,49.046,51.868,51.969
15.867,23.815,28.282,32.219,35.514,41.681,43.407,49.031,51.882,51.914
15.882,23.812,28.268,32.243,35.508,41.665,43.396,49.053,51.827,51.894
15.891,23.819,28.296,32.334,35.547,41.636,43.425,49.105,51.821,51.873
15.905,23.824,28.278,32.355,35.592,41.584,43.431,49.176,51.825,51.862
15.892,23.803,28.236,32.351,35.589,41.598,43.439,49.12,51.803,51.902
15.893,23.821,28.238,32.437,35.592,41.585,43.465,49.153,51.834,51.863
15.885,23.827,28.267,32.414,35.621,41.512,43.516,49.161,51.812,51.848
15.875,23.822,28.318,32.451,35.635,41.529,43.551,49.178,51.765,51.877
15.872,23.815,28.305,32.453,35.643,41.566,43.59,49.244,51.855,51.896
15.897,23.839,28.284,32.487,35.669,41.548,43.619,49.308,51.915,51.985
15.917,23.826,28.273,32.508,35.679,41.556,43.607,49.355,51.872,52.022
15.909,23.818,28.264,32.509,35.61,41.583,43.695,49.386,51.882,52.033
15.912,23.835,28.343,32.5,35.565,41.563,43.767,49.38,51.954,52.021
15.915,23.836,28.319,32.497,35.625,41.595,43.732,49.367,52.026,52.041
15.925,23.841,28.34,32.52,35.648,41.599,43.748,49.427,52.015,52.01
15.947,23.861,28.352,32.535,35.691,41.641,43.767,49.451,52.066,52.086
15.971,23.877,28.355,32.528,35.682,41.64,43.754,49.451,52.08,52.074
15.978,23.874,28.363,32.526,35.706,41.658,43.749,49.456,52.059,52.125
15.985,23.877,28.364,32.472,35.715,41.696,43.741,49.422,52.15,52.146
15.974,23.905,28.362,32.461,35.727,41.688,43.734,49.492,52.152,52.187
15.977,23.932,28.401,32.464,35.753,41.656,43.794,49.532,52.116,52.173
15.992,23.961,28.401,32.499,35.777,41.661,43.818,49.552,52.154,52.175
16.012,23.943,28.419,32.485,35.778,41.649,43.786,49.535,52.221,52.137
15.998,23.979,28.455,32.499,35.762,41.726,43.843,49.537,52.229,52.06
16.002,24.003,28.44,32.484,35.744,41.819,43.886,49.583,52.212,52.006
15.975,23.993,28.489,32.48,35.732,41.839,43.902,49.621,52.166,52.052
15.99,24.028,28.481,32.54,35.734,41.863,43.924,49.604,52.151,52.067
15.981,24.03,28.486,32.526,35.762,41.838,43.871,49.68,52.127,52.08
15.979,24.045,28.503,32.522,35.762,41.882,43.888,49.574,52.1,52.104
16.001,24.036,28.477,32.591,35.734,41.859,43.906,49.62,52.083,52.088
16.007,24.04,28.476,32.618,35.777,41.85,43.927,49.681,52.087,52.102
16.01,24.026,28.456,32.596,35.804,41.788,43.959,49.752,52.105,52.073
15.989,24.049,28.463,32.561,35.77,41.809,43.991,49.765,52.139,52.079
16.022,24.027,28.497,32.563,35.82,41.811,44.049,49.733,52.137,52.06
16.021,23.995,28.509,32.534,35.804,41.857,44.063,49.709,52.134,52.058
16.008,23.99,28.506,32.522,35.851,41.848,44.095,49.728,52.14,52.074
16.001,23.981,28.525,32.502,35.842,41.848,44.098,49.71,52.211,51.998
16.017,23.978,28.547,32.526,35.889,41.838,44.111,49.692,52.319,52.022
16.026,23.988,28.572,32.554,35.91,41.75,44.09,49.688,52.301,51.994
16.037,24.004,28.561,32.614,35.9,41.786,44.08,49.726,52.285,51.979
16.052,24.005,28.554,32.652,35.923,41.835,44.072,49.66,52.316,52.037
16.056,24.033,28.535,32.659,35.962,41.833,44.059,49.575,52.342,51.998
16.065,24.039,28.54,32.649,35.963,41.821,44.176,49.62,52.319,52.014
16.082,24.03,28.482,32.712,35.992,41.874,44.22,49.599,52.345,52.104
16.078,24.055,28.511,32.761,36.0,41.906,44.177,49.652,52.372,52.134
16.106,24.073,28.495,32.792,36.006,41.916,44.215,49.641,52.363,52.173
16.105,24.113,28.493,32.784,36.004,41.921,44.233,49.682,52.292,52.235
16.114,24.093,28.481,32.765,36.018,41.898,44.275,49.664,52.329,52.324
16.114,24.112,28.5,32.746,35.965,41.89,44.274,49.715,52.349,52.325
16.105,24.096,28.473,32.726,35.972,41.861,44.293,49.772,52.325,52.411
16.097,24.084,28.443,32.738,36.011,41.803,44.351,49.823,52.359,52.399
16.087,24.098,28.441,32.767,35.99,41.814,44.339,49.851,52.442,52.418
16.117,24.07,28.466,32.773,35.95,41.813,44.34,49.869,52.441,52.508
16.137,24.065,28.48,32.791,36.005,41.854,44.356,49.821,52.422,52.61
16.143,24.055,28.414,32.808,35.974,41.821,44.278,49.799,52.379,52.588
16.137,24.071,28.402,32.81,35.971,41.879,44.327,49.776,52.394,52.6
16.156,24.095,28.391,32.823,35.954,41.921,44.355,49.842,52.379,52.621
16.157,24.086,28.413,32.827,35.973,41.869,44.327,49.846,52.408,52.651
16.168,24.114,28.408,32.886,35.997,41.867,44.333,49.802,52.417,52.69
16.206,24.125,28.462,32.892,35.956,41.871,44.358,49.832,52.406,52.678
16.219,24.128,28.482,32.936,36.014,41.869,44.351,49.85,52.471,52.748
16.197,24.144,28.482,32.958,36.009,41.855,44.338,49.851,52.502,52.773
16.191,24.11,28.471,33.002,36.0,41.744,44.291,49.806,52.533,52.731
16.195,24.079,28.464,33.01,36.024,41.782,44.37,49.759,52.52,52.672
16.201,24.108,28.483,33.008,36.018,41.853,44.352,49.756,52.569,52.762
16.174,24.119,28.491,32.996,35.997,41.814,44.373,49.74,52.594,52.782
16.179,24.1,28.478,32.987,35.988,41.761,44.351,49.751,52.703,52.752
16.19,24.172,28.5,32.982,36.024,41.753,44.363,49.811,52.698,52.693
16.199,24.129,28.494,32.996,36.001,41.747,44.419,49.781,52.693,52.725
16.209,24.148,28.489,33.004,36.006,41.733,44.442,49.818,52.652,52.82
16.212,24.139,28.497,33.025,35.984,41.744,44.405,49.824,52.619,52.835
16.224,24.133,28.501,33.01,35.981,41.771,44.476,49.792,52.617,52.865
16.212,24.161,28.508,32.978,36.003,41.788,44.415,49.808,52.652,52.899
16.216,24.184,28.528,32.972,36.006,41.857,44.41,49.784,52.672,52.964
16.225,24.192,28.546,32.954,35.96,41.852,44.41,49.78,52.655,52.993
16.233,24.175,28.559,32.985,35.934,41.809,44.442,49.83,52.772,53.076
16.233,24.191,28.505,33.018,35.89,41.838,44.483,49.827,52.847,53.091
16.251,24.223,28.511,33.024,35.894,41.817,44.446,49.876,52.812,53.05
16.26,24.246,28.515,33.034,35.958,41.768,44.474,49.918,52.808,53.035
16.265,24.249,28.493,33.043,35.964,41.748,44.547,49.909,52.785,53.124
16.265,24.253,28.475,33.078,35.978,41.756,44.578,49.894,52.935,53.147
16.287,24.244,28.514,33.089,36.032,41.781,44.614,49.841,52.91,53.126
16.304,24.268,28.461,33.109,35.995,41.795,44.642,49.804,52.854,53.108
16.283,24.281,28.467,33.137,36.076,41.771,44.658,49.841,52.872,53.137
16.267,24.291,28.471,33.193,36.1,41.798,44.586,49.836,52.962,53.12
16.274,24.274,28.446,33.189,36.091,41.817,44.598,49.755,52.91,53.147
16.276,24.243,28.486,33.186,36.089,41.86,44.618,49.84,52.936,53.088
16.273,24.277,28.476,33.164,36.114,41.813,44.612,49.828,52.929,53.134
16.281,24.283,28.507,33.125,36.136,41.778,44.619,49.855,52.898,53.199
16.286,24.313,28.535,33.098,36.143,41.768,44.619,49.89,52.895,53.231
16.265,24.314,28.538,33.093,36.127,41.8,44.68,49.906,52.948,53.223
16.29,24.318,28.567,33.127,36.1,41.776,44.75,49.943,53.031,53.243
16.278,24.299,28.599,33.157,36.092,41.804,44.817,49.951,53.103,53.267
16.295,24.301,28.586,33.145,36.129,41.763,44.806,49.961,53.177,53.269
16.296,24.314,28.59,33.16,36.14,41.804,44.883,50.001,53.169,53.259
16.306,24.321,28.585,33.177,36.108,41.808,44.841,49.937,53.185,53.323
16.313,24.298,28.62,33.171,36.071,41.854,44.847,49.983,53.272,53.399
16.291,24.305,28.622,33.165,36.122,41.841,44.855,50.034,53.277,53.437
16.277,24.286,28.66,33.201,36.153,41.864,44.911,50.045,53.266,53.525
16.274,24.284,28.668,33.19,36.185,41.839,45.004,50.014,53.244,53.579
16.287,24.292,28.698,33.146,36.177,41.825,44.982,49.946,53.253,53.65
16.308,24.345,28.698,33.078,36.2,41.783,44.976,49.965,53.229,53.689
16.317,24.353,28.661,33.086,36.235,41.759,44.983,49.977,53.214,53.674
16.322,24.364,28.68,33.092,36.264,41.79,44.991,50.019,53.245,53.699
16.292,24.387,28.708,33.079,36.331,41.847,45.006,50.001,53.231,53.637
16.305,24.396,28.695,33.06,36.342,41.946,45.115,49.967,53.268,53.643
16.316,24.439,28.718,33.073,36.331,42.011,45.084,50.031,53.314,53.658
16.329,24.462,28.732,33.052,36.308,41.961,45.088,49.973,53.391,53.668
16.324,24.464,28.724,33.057,36.327,41.985,45.07,50.008,53.401,53.762
16.353,24.466,28.737,33.036,36.386,42.014,45.072,50.044,53.403,53.772
16.356,24.444,28.758,33.08,36.347,41.989,45.078,49.959,53.382,53.744
16.355,24.458,28.746,33.055,36.402,42.007,45.068,50.004,53.379,53.789
16.344,24.481,28.757,33.008,36.385,42.036,45.127,50.004,53.38,53.801
16.369,24.468,28.778,32.976,36.382,42.046,45.113,49.96,53.357,53.838
16.365,24.425,28.755,33.034,36.398,42.045,45.141,50.052,53.368,53.766
16.392,24.44,28.784,33.02,36.432,42.121,45.156,50.038,53.26,53.704
16.407,24.454,28.786,33.06,36.419,42.135,45.168,50.066,53.304,53.73
16.417,24.474,28.81,33.054,36.436,42.14,45.186,50.179,53.321,53.658
16.416,24.489,28.83,33.055,36.432,42.188,45.255,50.161,53.37,53.607
16.412,24.464,28.779,33.05,36.474,42.191,45.215,50.175,53.33,53.641
16.415,24.464,28.764,33.094,36.468,42.215,45.243,50.21,53.376,53.649
16.443,24.456,28.767,33.125,36.501,42.197,45.23,50.266,53.382,53.681
16.431,24.449,28.745,33.111,36.458,42.234,45.211,50.251,53.43,53.753
16.44,24.443,28.713,33.115,36.438,42.182,45.198,50.237,53.458,53.746
16.453,24.435,28.695,33.136,36.427,42.127,45.195,50.267,53.462,53.904
16.413,24.483,28.717,33.135,36.393,42.195,45.2,50.2,53.443,53.843
16.41,24.467,28.711,33.12,36.336,42.169,45.241,50.127,53.361,53.79
16.425,24.45,28.727,33.102,36.401,42.179,45.273,50.095,53.398,53.837
16.427,24.482,28.685,33.084,36.462,42.194,45.262,50.189,53.45,53.89
16.442,24.492,28.715,33.066,36.469,42.157,45.215,50.193,53.527,53.86
16.445,24.512,28.704,33.061,36.44,42.219,45.248,50.233,53.464,53.846
16.434,24.54,28.728,33.102,36.467,42.244,45.29,50.213,53.447,53.953
16.448,24.524,28.757,33.113,36.449,42.253,45.342,50.226,53.529,54.037
16.473,24.51,28.735,33.133,36.423,42.256,45.406,50.256,53.599,54.063
16.467,24.54,28.791,33.136,36.483,42.253,45.395,50.28,53.575,54.019
16.492,24.547,28.803,33.146,36.484,42.243,45.443,50.314,53.536,53.967
16.483,24.54,28.827,33.21,36.496,42.274,45.476,50.303,53.561,53.973
16.473,24.544,28.84,33.204,36.5,42.334,45.495,50.304,53.53,54.015
16.474,24.535,28.82,33.19,36.532,42.341,45.518,50.273,53.523,54.04
16.446,24.525,28.855,33.168,36.567,42.383,45.524,50.271,53.549,54.076
16.456,24.508,28.852,33.139,36.539,42.439,45.551,50.273,53.522,53.99
16.452,24.527,28.873,33.117,36.515,42.461,45.545,50.237,53.561,54.04
16.452,24.532,28.848,33.143,36.516,42.42,45.598,50.2,53.641,53.991
16.438,24.549,28.839,33.142,36.487,42.454,45.6,50.254,53.628,53.97
16.473,24.599,28.779,33.175,36.49,42.507,45.647,50.286,53.555,53.969
16.49,24.572,28.798,33.2,36.52,42.484,45.683,50.219,53.494,54.044
16.473,24.564,28.803,33.213,36.506,42.427,45.765,50.246,53.542,54.051
16.475,24.585,28.818,33.235,36.493,42.426,45.85,50.229,53.583,54.052
16.482,24.593,28.823,33.227,36.527,42.412,45.912,50.197,53.49,54.017
16.509,24.598,28.839,33.254,36.507,42.41,45.945,50.156,53.507,54.052
16.493,24.605,28.812,33.236,36.468,42.465,45.98,50.047,53.507,54.044
16.473,24.623,28.848,33.233,36.451,42.506,46.006,50.054,53.492,54.008
16.484,24.646,28.83,33.272,36.493,42.495,46.013,50.022,53.523,54.079
16.481,24.634,28.815,33.318,36.489,42.54,46.019,50.02,53.463,54.133
16.515,24.62,28.833,33.301,36.494,42.567,45.966,50.034,53.459,54.087
16.551,24.637,28.835,33.297,36.533,42.552,46.004,50.007,53.369,54.099
16.543,24.677,28.803,33.316,36.597,42.596,46.085,50.066,53.415,54.123
16.529,24.672,28.792,33.252,36.611,42.603,46.03,50.067,53.464,54.075
16.535,24.686,28.761,33.261,36.621,42.579,46.07,50.035,53.445,54.035
16.533,24.718,28.772,33.301,36.628,42.642,46.117,50.085,53.463,53.971
16.521,24.724,28.742,33.335,36.656,42.669,46.1,50.141,53.428,54.039
16.557,24.74,28.764,33.301,36.738,42.683,46.1,50.136,53.392,54.035
16.562,24.739,28.728,33.327,36.726,42.649,46.141,50.239,53.355,54.081
16.56,24.745,28.713,33.341,36.692,42.646,46.146,50.292,53.26,54.059
16.534,24.702,28.715,33.364,36.692,42.669,46.136,50.292,53.346,54.07
16.576,24.719,28.76,33.37,36.695,42.649,46.109,50.296,53.399,54.02
16.563,24.725,28.767,33.407,36.723,42.661,46.117,50.301,53.468,54.015
16.568,24.707,28.796,33.386,36.769,42.702,46.126,50.274,53.523,54.032
16.568,24.695,28.822,33.404,36.782,42.738,46.115,50.247,53.557,54.052
16.579,24.705,28.793,33.432,36.791,42.722,46.095,50.244,53.538,54.054
16.586,24.717,28.782,33.468,36.807,42.763,46.076,50.269,53.525,54.096
16.622,24.702,28.769,33.507,36.818,42.789,46.125,50.246,53.547,54.065
16.605,24.738,28.789,33.539,36.793,42.749,46.11,50.205,53.559,54.047
16.614,24.767,28.757,33.542,36.75,42.829,46.183,50.224,53.584,54.062
16.63,24.724,28.78,33.563,36.735,42.776,46.182,50.139,53.661,54.095
16.63,24.752,28.772,33.555,36.726,42.725,46.136,50.09,53.696,54.161
16.624,24.756,28.774,33.598,36.774,42.765,46.128,50.111,53.708,54.131
16.595,24.762,28.758,33.597,36.809,42.736,46.095,50.108,53.7,54.045
16.571,24.79,28.739,33.615,36.857,42.737,46.118,50.11,53.668,54.143
16.562,24.789,28.706,33.558,36.874,42.792,46.087,50.062,53.713,54.153
16.543,24.795,28.757,33.489,36.899,42.819,46.114,50.092,53.812,54.157
16.542,24.81,28.732,33.52,36.888,42.908,46.16,50.216,53.793,54.178
16.54,24.799,28.745,33.55,36.904,42.918,46.132,50.217,53.765,54.151
16.549,24.841,28.732,33.591,36.911,42.915,46.159,50.169,53.865,54.126
16.563,24.861,28.766,33.616,36.931,42.891,46.161,50.12,53.895,54.141
16.547,24.873,28.804,33.614,36.894,42.857,46.208,50.165,53.916,54.138
16.556,24.893,28.811,33.628,36.913,42.904,46.252,50.262,53.877,54.185
16.558,24.923,28.785,33.668,36.914,42.884,46.287,50.261,53.808,54.257
16.578,24.924,28.803,33.649,36.876,42.87,46.275,50.287,53.802,54.217
16.55,24.931,28.821,33.674,36.857,42.907,46.274,50.308,53.753,54.195
16.551,24.961,28.845,33.706,36.886,42.849,46.277,50.276,53.74,54.138
16.554,24.99,28.858,33.708,36.904,42.842,46.315,50.272,53.778,54.137
16.561,24.995,28.837,33.73,36.851,42.867,46.387,50.298,53.812,54.116
16.563,25.0,28.825,33.677,36.844,42.909,46.367,50.246,53.883,54.139
16.569,25.007,28.847,33.648,36.914,42.945,46.333,50.331,53.875,54.129
16.59,25.012,28.837,33.641,36.893,42.969,46.383,50.343,53.904,54.114
16.594,25.053,28.805,33.605,36.9,42.979,46.389,50.263,53.926,54.136
16.589,25.061,28.815,33.6,36.867,43.019,46.328,50.308,53.936,54.129
16.604,25.055,28.85,33.563,36.842,43.016,46.362,50.315,53.921,54.164
16.624,25.087,28.823,33.564,36.802,43.054,46.365,50.311,53.862,54.173
16.632,25.087,28.855,33.587,36.799,43.022,46.389,50.312,53.857,54.215
16.624,25.099,28.873,33.568,36.821,43.04,46.357,50.317,53.901,54.229
16.639,25.092,28.897,33.565,36.794,43.037,46.387,50.334,53.958,54.258
16.654,25.102,28.913,33.554,36.828,43.035,46.376,50.357,53.972,54.327
16.651,25.139,28.954,33.552,36.835,43.085,46.398,50.419,53.982,54.355
16.674,25.155,28.933,33.577,36.826,43.093,46.431,50.439,53.932,54.391
16.662,25.186,28.928,33.619,36.796,43.125,46.412,50.451,53.942,54.443
16.638,25.221,28.967,33.598,36.824,43.095,46.452,50.443,53.945,54.507
16.643,25.223,28.959,33.611,36.814,43.134,46.482,50.437,53.97,54.546
16.642,25.21,28.939,33.606,36.872,43.185,46.455,50.441,54.019,54.532
16.651,25.234,28.95,33.622,36.899,43.16,46.406,50.523,53.943,54.597
16.643,25.244,28.961,33.643,36.886,43.218,46.385,50.514,53.98,54.589
16.668,25.245,28.956,33.709,36.86,43.278,46.444,50.447,53.861,54.649
16.675,25.261,28.936,33.706,36.915,43.276,46.423,50.45,53.888,54.64
16.656,25.239,28.896,33.708,36.92,43.226,46.365,50.468,53.926,54.698
16.654,25.256,28.897,33.712,36.933,43.188,46.374,50.527,53.946,54.693
16.669,25.257,28.916,33.743,36.93,43.205,46.466,50.597,54.004,54.698
16.685,25.251,28.943,33.74,36.921,43.193,46.503,50.625,53.978,54.715
16.686,25.285,28.918,33.716,36.951,43.243,46.511,50.647,53.986,54.723
16.704,25.313,28.912,33.679,36.98,43.232,46.513,50.595,54.019,54.786
16.672,25.321,28.965,33.679,37.02,43.253,46.487,50.589,54.034,54.81
16.686,25.321,28.987,33.69,37.09,43.241,46.511,50.549,53.958,54.888
16.707,25.34,28.99,33.699,37.107,43.289,46.448,50.549,53.9,54.885
16.701,25.379,29.02,33.686,37.07,43.205,46.48,50.541,53.935,54.919
16.718,25.356,29.045,33.633,37.033,43.223,46.509,50.528,53.951,54.96
16.697,25.375,29.001,33.657,37.051,43.221,46.46,50.541,54.043,54.911
16.692,25.389,29.01,33.622,37.046,43.233,46.488,50.542,54.035,54.959
16.686,25.364,29.031,33.653,37.132,43.279,46.485,50.628,54.082,54.958
16.693,25.337,28.967,33.606,37.114,43.272,46.515,50.655,54.133,54.977
16.699,25.329,28.907,33.613,37.152,43.252,46.556,50.656,54.126,54.935
16.693,25.36,28.904,33.679,37.178,43.281,46.519,50.741,54.183,54.938
16.689,25.38,28.927,33.696,37.204,43.228,46.504,50.769,54.162,55.002
16.721,25.414,28.93,33.679,37.174,43.28,46.51,50.737,54.114,55.018
16.714,25.414,28.935,33.716,37.172,43.269,46.539,50.756,54.086,55.05
16.713,25.385,28.952,33.727,37.2,43.278,46.55,50.709,54.138,55.083
16.745,25.388,28.909,33.732,37.199,43.212,46.525,50.702,54.164,55.046
16.756,25.407,28.948,33.736,37.116,43.217,46.542,50.757,54.153,55.058
16.751,25.406,28.935,33.703,37.147,43.251,46.555,50.726,54.143,55.079
16.759,25.407,28.937,33.677,37.144,43.25,46.565,50.704,54.142,55.035
16.776,25.429,28.95,33.688,37.176,43.254,46.614,50.695,54.153,54.978
16.787,25.383,28.962,33.684,37.241,43.259,46.696,50.739,54.165,55.02
16.781,25.412,28.922,33.663,37.221,43.251,46.728,50.774,54.097,55.099
16.795,25.428,28.971,33.689,37.266,43.258,46.777,50.792,54.149,55.088
